city,topology,k,seed,n_edges,R2_gcn,R2_linear_ref,delta_R2
beijing,correlation,3,42,36,0.9215,0.9495,-0.028
beijing,correlation,3,123,36,0.9178,0.9497,-0.032
beijing,correlation,3,777,36,0.9219,0.9485,-0.0267
beijing,correlation,5,42,60,0.9127,0.9495,-0.0368
beijing,correlation,5,123,60,0.9113,0.9497,-0.0384
beijing,correlation,5,777,60,0.9112,0.9485,-0.0373
beijing,correlation,8,42,96,0.8934,0.9495,-0.0561
beijing,correlation,8,123,96,0.894,0.9497,-0.0558
beijing,correlation,8,777,96,0.8946,0.9485,-0.054
beijing,distance,3,42,36,0.9364,0.9495,-0.0131
beijing,distance,3,123,36,0.9335,0.9497,-0.0162
beijing,distance,3,777,36,0.9363,0.9485,-0.0122
beijing,distance,5,42,60,0.9324,0.9495,-0.0171
beijing,distance,5,123,60,0.9324,0.9497,-0.0173
beijing,distance,5,777,60,0.9314,0.9485,-0.0171
beijing,distance,8,42,96,0.9298,0.9495,-0.0197
beijing,distance,8,123,96,0.927,0.9497,-0.0227
beijing,distance,8,777,96,0.9293,0.9485,-0.0193
london,correlation,3,42,24,0.5046,0.8451,-0.3405
london,correlation,3,123,24,0.474,0.8377,-0.3637
london,correlation,3,777,24,0.5068,0.844,-0.3372
london,correlation,5,42,40,0.4435,0.8451,-0.4016
london,correlation,5,123,40,0.4424,0.8377,-0.3953
london,correlation,5,777,40,0.4366,0.844,-0.4074
london,correlation,8,42,56,0.3287,0.8451,-0.5164
london,correlation,8,123,56,0.3097,0.8377,-0.528
london,correlation,8,777,56,0.3706,0.844,-0.4734
london,distance,3,42,24,0.508,0.8451,-0.3371
london,distance,3,123,24,0.5229,0.8377,-0.3148
london,distance,3,777,24,0.5072,0.844,-0.3368
london,distance,5,42,40,0.4854,0.8451,-0.3596
london,distance,5,123,40,0.4763,0.8377,-0.3614
london,distance,5,777,40,0.4388,0.844,-0.4052
london,distance,8,42,56,0.4494,0.8451,-0.3957
london,distance,8,123,56,0.4583,0.8377,-0.3793
london,distance,8,777,56,0.4358,0.844,-0.4082
madrid,correlation,3,42,18,0.4166,0.8135,-0.3969
madrid,correlation,3,123,18,0.4602,0.8155,-0.3553
madrid,correlation,3,777,18,0.4575,0.8131,-0.3555
madrid,correlation,5,42,30,0.3667,0.8135,-0.4468
madrid,correlation,5,123,30,0.4336,0.8155,-0.3819
madrid,correlation,5,777,30,0.3987,0.8131,-0.4144
madrid,correlation,8,42,30,0.3667,0.8135,-0.4468
madrid,correlation,8,123,30,0.4336,0.8155,-0.3819
madrid,correlation,8,777,30,0.3987,0.8131,-0.4144
madrid,distance,3,42,21,0.5107,0.8135,-0.3028
madrid,distance,3,123,21,0.5496,0.8155,-0.2659
madrid,distance,3,777,21,0.5334,0.8131,-0.2796
madrid,distance,5,42,35,0.4853,0.8135,-0.3282
madrid,distance,5,123,35,0.4962,0.8155,-0.3192
madrid,distance,5,777,35,0.4966,0.8131,-0.3165
madrid,distance,8,42,42,0.4572,0.8135,-0.3563
madrid,distance,8,123,42,0.4737,0.8155,-0.3417
madrid,distance,8,777,42,0.4678,0.8131,-0.3453
